# glossaire_classifie.csv V1.0.0 - 28/12/2025 10:07:17
type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn
pt;biproalvéolie;;;;;;;;;;;
pt;alvéolie;;;;;;;;;;;
pt;classe 1 d'angle;;;;;;;;;;;
pt;classe i dangle;;;;;;;;;;;
pt;classe 1 dangle;;;;;;;;;;;
pt;classe i d angle;;;;;;;;;;;
pt;classe 1 d angle;;;;;;;;;;;
pt;classe 2 d'angle;;;;;;;;;;;
pt;classe ii dangle;;;;;;;;;;;
pt;classe 2 dangle;;;;;;;;;;;
pt;classe ii d angle;;;;;;;;;;;
pt;classe 2 d angle;;;;;;;;;;;
pt;classe 3 d'angle;;;;;;;;;;;
pt;classe iii dangle;;;;;;;;;;;
pt;classe 3 dangle;;;;;;;;;;;
pt;classe iii d angle;;;;;;;;;;;
pt;classe 3 d angle;;;;;;;;;;;
pt;masque de delaire;;;;;;;;;;;
pt;delaire;;;;;;;;;;;
pt;hypoplasie maxillaire;;;;;;;;;;;
pt;dysharmonie dento maxillaire;;;;;;;;;;;
pt;dysharmonie-dento-maxillaire;;;;;;;;;;;
pt;ec;;;;;;;;;;;
pt;dent ectopique;;;;;;;;;;;
pt;tef;;;;;;;;;;;
pt;traitement rééducateur fonctionnel;;;;;;;;;;;
pt;rail;;;;;;;;;;;
pt;aligneur first;;;;;;;;;;;
pt;aligneurs first;;;;;;;;;;;
pt;déviation latérale;;;;;;;;;;;
pt;asymétrie;;;;;;;;;;;
pt;éventail;;;;;;;;;;;
pt;papillon;;;;;;;;;;;
pt;en forme de y;;;;;;;;;;;
pt;expansion rapide;;;;;;;;;;;
pt;4helix;;;;;;;;;;;
pt;quadri hélix;;;;;;;;;;;
pt;quadhelix;;;;;;;;;;;
pt;rétroversion;;;;;;;;;;;
pt;habitude de sucer;;;;;;;;;;;
pt;supra;;;;;;;;;;;
pt;over bite;;;;;;;;;;;
pt;over jet;;;;;;;;;;;
pt;dépassement horizontal;;;;;;;;;;;
pt;horizontal;;;;;;;;;;;
pt;tong-e;;;;;;;;;;;
a;antérieure;;;;;;;;;;;
a;antérieures;;;;;;;;;;;
a;incluse;;;;;;;;;;;
a;incluses;;;;;;;;;;;
a;postérieure;;;;;;;;;;;
a;postérieures;;;;;;;;;;;
pa;détachable;;;;;;;;;;;
pa;extractible;;;;;;;;;;;
pa;face;;;;;;;;;;;
pa;milieu;;;;;;;;;;;
pa;milieux;;;;;;;;;;;
pa;plus tard;;;;;;;;;;;
pa;doigt;;;;;;;;;;;
pa;le jour;;;;;;;;;;;
pa;le matin;;;;;;;;;;;
pa;le soir;;;;;;;;;;;
pa;du jour;;;;;;;;;;;
pa;du matin;;;;;;;;;;;
pa;du soir;;;;;;;;;;;
pa;jour;;;;;;;;;;;
pa;matin;;;;;;;;;;;
pa;soir;;;;;;;;;;;
pa;de droite;;;;;;;;;;;
pa;ancré;;;;;;;;;;;
pa;ancrée;;;;;;;;;;;
pa;ancrés;;;;;;;;;;;
pa;ancrées;;;;;;;;;;;
pa;à gauche;;;;;;;;;;;
pa;de gauche;;;;;;;;;;;
pa;maintenant;;;;;;;;;;;
pa;dents centrales;;;;;;;;;;;
pa;dent du centre;;;;;;;;;;;
pa;intégré;;;;;;;;;;;
pa;intégrée;;;;;;;;;;;
pa;intégrés;;;;;;;;;;;
pa;intégrées;;;;;;;;;;;
pa;infecté;;;;;;;;;;;
pa;infectée;;;;;;;;;;;
pa;infectés;;;;;;;;;;;
pa;infectées;;;;;;;;;;;
pa;côté;;;;;;;;;;;
pa;côtés;;;;;;;;;;;
pa;en bas;;;;;;;;;;;
pa;bas;;;;;;;;;;;
pa;en haut;;;;;;;;;;;
pa;haut;;;;;;;;;;;
pa;légere;;;;;;;;;;;
pa;légeres;;;;;;;;;;;
pa;la nuit;;;;;;;;;;;
pa;derrière;;;;;;;;;;;
pa;derrières;;;;;;;;;;;
pa;prévu;;;;;;;;;;;
pa;prévue;;;;;;;;;;;
pa;prévus;;;;;;;;;;;
pa;prévues;;;;;;;;;;;
pa;entier;;;;;;;;;;;
pa;entière;;;;;;;;;;;
pa;entiers;;;;;;;;;;;
pa;entières;;;;;;;;;;;
pa;plaie;;;;;;;;;;;
pa;lésion;;;;;;;;;;;
pa;blessure;;;;;;;;;;;
pa;trauma;;;;;;;;;;;
pa;plaies;;;;;;;;;;;
pa;lésions;;;;;;;;;;;
pa;blessures;;;;;;;;;;;
pa;traumas;;;;;;;;;;;
pa;rempli;;;;;;;;;;;
